0,123.791,-48.4382
0.003,123.812,-48.5508
0.006,123.841,-48.6681
0.009,123.876,-48.7901
0.012,123.92,-48.9167
0.015,123.97,-49.0481
0.018,124.028,-49.1842
0.021,124.094,-49.3249
0.024,124.166,-49.4704
0.027,124.246,-49.6206
0.03,124.334,-49.7755
0.033,124.428,-49.9352
0.036,124.53,-50.0995
0.039,124.639,-50.2685
0.042,124.756,-50.4423
0.045,124.879,-50.6207
0.048,125.01,-50.8039
0.051,125.148,-50.9917
0.054,125.294,-51.1842
0.057,125.446,-51.3814
0.06,125.605,-51.5832
0.063,125.772,-51.7897
0.066,125.945,-52.0008
0.069,126.126,-52.2164
0.072,126.313,-52.4366
0.075,126.507,-52.6613
0.078,126.708,-52.8906
0.081,126.915,-53.1242
0.084,127.129,-53.3623
0.087,127.349,-53.6047
0.09,127.575,-53.8514
0.093,127.807,-54.1023
0.096,128.045,-54.3573
0.099,128.289,-54.6164
0.102,128.538,-54.8795
0.105,128.793,-55.1464
0.108,129.052,-55.4171
0.111,129.315,-55.6914
0.114,129.583,-55.9692
0.117,129.854,-56.2503
0.12,130.129,-56.5346
0.123,130.406,-56.8219
0.126,130.686,-57.1119
0.129,130.966,-57.4045
0.132,131.248,-57.6994
0.135,131.53,-57.9964
0.138,131.811,-57.8192
0.141,132.09,-58.1156
0.144,132.366,-58.4131
0.147,132.639,-58.7115
0.15,132.906,-59.0105
0.153,133.167,-59.3095
0.156,133.42,-59.6081
0.159,133.664,-59.9059
0.162,133.897,-60.2024
0.165,134.117,-60.4971
0.168,134.325,-60.7893
0.171,134.516,-61.0784
0.174,134.691,-61.3638
0.177,134.848,-61.6447
0.18,134.986,-61.9204
0.183,135.103,-62.1902
0.186,135.2,-62.4531
0.189,135.276,-62.7084
0.192,135.332,-62.955
0.195,135.369,-63.192
0.198,135.388,-63.4185
0.201,135.392,-63.6334
0.204,135.383,-63.8356
0.207,135.366,-64.0243
0.21,135.344,-64.1982
0.213,135.321,-64.3565
0.216,135.301,-64.498
0.219,135.288,-64.622
0.222,135.285,-64.7276
0.225,135.294,-64.8141
0.228,135.315,-64.8809
0.231,135.35,-64.9275
0.234,135.396,-64.9538
0.237,135.451,-64.9598
0.24,135.512,-64.9457
