0,8.81361e-010,-3.67986e-006,-1.95,1.95
0.003,7.93225e-009,-3.67987e-006,-1.95,1.95
0.006,2.20341e-008,-3.67988e-006,-1.95,1.95
0.009,4.31868e-008,-3.67989e-006,-1.95,1.95
0.012,7.13905e-008,-3.67991e-006,-1.95,1.95
0.015,1.06645e-007,-3.67993e-006,-1.95,1.95
0.018,1.48951e-007,-3.67995e-006,-1.95,1.95
0.021,1.98309e-007,-3.67998e-006,-1.95,1.95
0.024,2.54717e-007,-3.68001e-006,-1.94999,1.94999
0.027,3.18177e-007,-3.68005e-006,-1.94999,1.94999
0.03,3.88689e-007,-3.68009e-006,-1.94999,1.94999
0.033,4.66253e-007,-3.68013e-006,-1.94999,1.94999
0.036,5.50869e-007,-3.68018e-006,-1.94999,1.94999
0.039,6.42537e-007,-3.68023e-006,-1.94998,1.94998
0.042,7.41258e-007,-3.68029e-006,-1.94998,1.94998
0.045,8.47031e-007,-3.68035e-006,-1.94998,1.94998
0.048,9.59858e-007,-3.68041e-006,-1.94998,1.94998
0.051,1.07974e-006,-3.68048e-006,-1.94997,1.94997
0.054,1.20667e-006,-3.68055e-006,-1.94997,1.94997
0.057,1.34066e-006,-3.68063e-006,-1.94997,1.94997
0.06,1.4817e-006,-3.68071e-006,-1.94996,1.94996
0.063,1.6298e-006,-3.6808e-006,-1.94996,1.94996
0.066,1.78495e-006,-3.68089e-006,-1.94995,1.94995
0.069,1.94715e-006,-3.68098e-006,-1.94995,1.94995
0.072,2.11642e-006,-3.68108e-006,-1.94995,1.94995
0.075,2.29274e-006,-3.68118e-006,-1.94994,1.94994
0.078,2.47611e-006,-3.68128e-006,-1.94994,1.94994
0.081,2.66654e-006,-3.68139e-006,-1.94993,1.94993
0.084,2.86404e-006,-3.6815e-006,-1.94993,1.94993
0.087,3.06858e-006,-3.68162e-006,-1.94992,1.94992
0.09,3.28019e-006,-3.68174e-006,-1.94992,1.94992
0.093,3.49886e-006,-3.68187e-006,-1.94991,1.94991
0.096,3.72458e-006,-3.682e-006,-1.94991,1.94991
0.099,3.95737e-006,-3.68213e-006,-1.9499,1.9499
0.102,4.19722e-006,-3.68227e-006,-1.94989,1.94989
0.105,4.44413e-006,-3.68241e-006,-1.94989,1.94989
0.108,4.6981e-006,-3.68255e-006,-1.94988,1.94988
0.111,4.95913e-006,-3.6827e-006,-1.94987,1.94987
0.114,5.22723e-006,-3.68286e-006,-1.94987,1.94987
0.117,5.50239e-006,-3.68301e-006,-1.94986,1.94986
0.12,5.78462e-006,-3.68317e-006,-1.94985,1.94985
0.123,6.07391e-006,-3.68334e-006,-1.94985,1.94985
0.126,6.37027e-006,-3.68351e-006,-1.94984,1.94984
0.129,6.6737e-006,-3.68368e-006,-1.94983,1.94983
0.132,6.98419e-006,-3.68386e-006,-1.94982,1.94982
0.135,7.30175e-006,-3.68404e-006,-1.94982,1.94982
0.138,7.62639e-006,-3.68423e-006,-1.94981,1.94981
0.141,7.95809e-006,-3.68442e-006,-1.9498,1.9498
0.144,8.29686e-006,-3.68461e-006,-1.94979,1.94979
0.147,8.64271e-006,-3.68481e-006,-1.94978,1.94978
0.15,8.99563e-006,-3.68501e-006,-1.94977,1.94977
0.153,9.35562e-006,-3.68522e-006,-1.94976,1.94976
0.156,9.72268e-006,-3.68543e-006,-1.94975,1.94975
0.159,1.00968e-005,-3.68564e-006,-1.94975,1.94975
0.162,1.0478e-005,-3.68586e-006,-1.94974,1.94974
0.165,1.08663e-005,-3.68608e-006,-1.94973,1.94973
0.168,1.12617e-005,-3.68631e-006,-1.94972,1.94972
0.171,1.16642e-005,-3.68654e-006,-1.94971,1.94971
0.174,1.20737e-005,-3.68677e-006,-1.9497,1.9497
0.177,1.24903e-005,-3.68701e-006,-1.94968,1.94968
0.18,1.2914e-005,-3.68726e-006,-1.94967,1.94967
0.183,1.33448e-005,-3.6875e-006,-1.94966,1.94966
0.186,1.37827e-005,-3.68775e-006,-1.94965,1.94965
0.189,1.42276e-005,-3.68801e-006,-1.94964,1.94964
0.192,1.46797e-005,-3.68827e-006,-1.94963,1.94963
0.195,1.51388e-005,-3.68853e-006,-1.94962,1.94962
0.198,1.5605e-005,-3.6888e-006,-1.94961,1.94961
0.201,1.60783e-005,-3.68907e-006,-1.94959,1.94959
0.204,1.65587e-005,-3.68934e-006,-1.94958,1.94958
0.207,1.70462e-005,-3.68962e-006,-1.94957,1.94957
0.21,1.75408e-005,-3.68991e-006,-1.94956,1.94956
0.213,1.80425e-005,-3.69019e-006,-1.94954,1.94954
0.216,1.85513e-005,-3.69048e-006,-1.94953,1.94953
0.219,1.90672e-005,-3.69078e-006,-1.94952,1.94952
0.222,1.95901e-005,-3.69108e-006,-1.94951,1.94951
0.225,2.01202e-005,-3.69138e-006,-1.94949,1.94949
0.228,2.06574e-005,-3.69169e-006,-1.94948,1.94948
0.231,2.12017e-005,-3.692e-006,-1.94946,1.94946
0.234,2.17531e-005,-3.69232e-006,-1.94945,1.94945
0.237,2.23116e-005,-3.69264e-006,-1.94944,1.94944
0.24,2.28772e-005,-3.69296e-006,-1.94942,1.94942
0.243,2.34499e-005,-3.69329e-006,-1.94941,1.94941
0.246,2.40297e-005,-3.69362e-006,-1.94939,1.94939
0.249,2.46167e-005,-3.69396e-006,-1.94938,1.94938
0.252,2.52107e-005,-3.6943e-006,-1.94936,1.94936
0.255,2.58119e-005,-3.69465e-006,-1.94935,1.94935
