0,127.302,-44.9408
0.003,127.323,-45.0437
0.006,127.351,-45.15
0.009,127.386,-45.2598
0.012,127.428,-45.3731
0.015,127.478,-45.4899
0.018,127.535,-45.6102
0.021,127.598,-45.734
0.024,127.669,-45.8614
0.027,127.747,-45.9922
0.03,127.831,-46.1266
0.033,127.923,-46.2646
0.036,128.022,-46.4061
0.039,128.128,-46.5511
0.042,128.241,-46.6997
0.045,128.36,-46.8519
0.048,128.487,-47.0076
0.051,128.62,-47.1668
0.054,128.76,-47.3296
0.057,128.907,-47.4958
0.06,129.061,-47.6656
0.063,129.221,-47.8389
0.066,129.387,-48.0157
0.069,129.56,-48.1959
0.072,129.74,-48.3795
0.075,129.925,-48.5664
0.078,130.117,-48.7568
0.081,130.315,-48.9504
0.084,130.518,-49.1472
0.087,130.727,-49.3473
0.09,130.942,-49.5505
0.093,131.162,-49.7568
0.096,131.387,-49.966
0.099,131.616,-50.1781
0.102,131.851,-50.3931
0.105,132.089,-50.6107
0.108,132.332,-50.8309
0.111,132.578,-51.0535
0.114,132.827,-51.7596
0.117,133.079,-51.9981
0.12,133.333,-52.2384
0.123,133.589,-52.4803
0.126,133.846,-52.7238
0.129,134.104,-52.9684
0.132,134.361,-53.214
0.135,134.618,-53.4602
0.138,134.873,-53.7069
0.141,135.126,-53.9535
0.144,135.375,-54.1998
0.147,135.62,-54.4454
0.15,141.971,-53.8181
0.153,141.982,-53.7937
0.156,141.998,-53.7724
0.159,142.02,-53.7542
0.162,142.048,-53.7391
0.165,142.082,-54.4988
0.168,142.121,-54.4946
0.171,142.166,-53.7547
0.174,142.217,-53.7655
0.177,142.273,-53.779
0.18,142.334,-53.7952
0.183,142.4,-52.8646
0.186,142.471,-52.9093
0.189,142.547,-52.9564
0.192,142.628,-53.0061
0.195,142.713,-53.0581
0.198,142.802,-53.6146
0.201,142.895,-53.6755
0.204,142.991,-53.7387
0.207,143.091,-53.8039
0.21,143.193,-53.8713
0.213,143.298,-53.9406
0.216,143.404,-55.0187
0.219,143.512,-54.6879
0.222,143.62,-54.772
0.225,143.727,-54.8576
0.228,143.834,-54.9447
0.231,143.939,-54.8937
0.234,144.042,-54.6685
0.237,144.14,-54.7835
0.24,144.234,-54.8992
0.243,144.322,-55.0153
0.246,144.402,-55.1316
0.249,144.473,-55.2478
0.252,144.534,-55.3636
0.255,144.583,-55.4788
0.258,144.618,-55.593
0.261,144.638,-55.7059
0.264,144.641,-55.8171
0.267,144.626,-55.9262
0.27,144.592,-56.9065
0.273,144.538,-57.0124
0.276,144.463,-57.1147
0.279,144.369,-57.2129
0.282,144.256,-57.3065
0.285,144.125,-57.5726
0.288,143.981,-57.6451
0.291,143.825,-58.4123
0.294,143.663,-57.6967
0.297,143.5,-57.5195
0.3,132.966,-58.6503
